suite,calibration_seeds,evaluation_seeds,detect_quantile,detect_threshold,calibration_null_max,threshold_below_calibration_max,abstain_margin_threshold,calibration_selective_coverage,calibration_selective_error,heldout_macro_f1,heldout_balanced_accuracy,healthy_false_alarm_rate,healthy_false_actionable_rate,maximum_source_false_actionable_rate,minimum_fault_detection_rate,macro_fault_correct_confident_rate,minimum_actionable_fault_correct_action_rate,known_fault_abstain_rate,known_fault_selective_accuracy,recall_healthy,recall_structure,recall_actuator,recall_sensor,structure_detection_rate,structure_abstain_rate,structure_correct_confident_rate,structure_false_actionable_rate,actuator_detection_rate,actuator_abstain_rate,actuator_correct_confident_rate,actuator_false_actionable_rate,sensor_detection_rate,sensor_abstain_rate,sensor_correct_confident_rate,sensor_false_actionable_rate,information_gate_pass,action_gate_pass
C1,100,48,0.95,1.2812005113917797,1.4710484697942274,True,0.0,1.0,0.0,0.7037037037037037,0.7604166666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.6944444444444443,0.08333333333333333,0.0,1.0,0.9583333333333334,0.08333333333333333,1.0,1.0,0.08333333333333333,0.0,0.08333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False
S,100,48,0.95,1.2633995936939433,1.4253021023275279,True,0.0,1.0,0.0,0.9947911014650027,0.9947916666666666,0.020833333333333332,0.020833333333333332,0.020833333333333332,1.0,1.0,1.0,0.0,1.0,0.9791666666666666,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,True,True
