task_torque_scale,peak_load_n,onset_offset_steps,onset_index,suite,window,stride,decision_lag_steps,safety_screen_pass,sync_vector_nonzero,detect_threshold,false_alarm_rate,minimum_fault_detection_rate,structure_detection_rate,actuator_detection_rate,sensor_detection_rate,macro_attribution_accuracy,structure_attribution_accuracy,actuator_attribution_accuracy,sensor_attribution_accuracy
0.5,0.05,5,505,S,768,8,7,True,True,1.336981568707358,0.020833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,5,505,S,768,16,7,True,True,1.336981568707358,0.020833333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,C1,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,C1,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,C1,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,C1,640,4,1,True,True,1.369836853018908,0.041666666666666664,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,C1,640,8,1,True,True,1.369836853018908,0.041666666666666664,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,C1,640,16,1,True,True,1.369836853018908,0.041666666666666664,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,C1,768,4,1,True,True,1.491918398924561,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,C1,768,8,1,True,True,1.491918398924561,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,C1,768,16,1,True,True,1.491918398924561,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,S,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,S,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,S,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,11,511,S,640,4,1,True,True,1.3373302931071727,0.0625,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,S,640,8,1,True,True,1.3373302931071727,0.0625,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,S,640,16,1,True,True,1.3373302931071727,0.0625,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9583333333333334
0.5,0.05,11,511,S,768,4,1,True,True,1.4149562797065605,0.0,0.9791666666666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,S,768,8,1,True,True,1.4149562797065605,0.0,0.9791666666666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,11,511,S,768,16,1,True,True,1.4149562797065605,0.0,0.9791666666666666,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0
