role,seed,physical_source,diagnosis,candidate_label,suite,maximum_gain_compensation,minimum_gain_remaining,estimated_severity,severity_uncertainty,expected_multiplier,applied_multiplier_mean,applied_multiplier_max_error,run_id,j_5s,predecision_hash,classification_evaluations,recovery_command_changed_steps,predecision_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
tuning,18001,actuator,oracle,cap5_floor0p20,S,5.0,0.2,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18001-actuator-oracle-cap5_floor0p20,0.8491089221534598,f0635bdbee6fa09bd683fdde61d310a0e262d4f5151771ba94035d68add93ff7,1,1863,0,0,0,1.2992569379751422,11.28348726584072
tuning,18001,actuator,oracle,cap5_floor0p25,S,5.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18001-actuator-oracle-cap5_floor0p25,0.8491089221534598,f0635bdbee6fa09bd683fdde61d310a0e262d4f5151771ba94035d68add93ff7,1,1863,0,0,0,1.2992569379751422,11.28348726584072
tuning,18001,actuator,no_action,reference,S,2.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-tuning-18001-actuator-no_action-reference,1.0582855931996873,f0635bdbee6fa09bd683fdde61d310a0e262d4f5151771ba94035d68add93ff7,1,0,0,0,0,0.09278972281663721,3.402261839444698
tuning,18001,healthy,oracle,cap2_floor0p25,S,2.0,0.25,0.25,0.0,2.0,2.0,0.0,actuator-recovery-tuning-18001-healthy-oracle-cap2_floor0p25,0.8068452533696227,1e7a9f0d61e5c83be786788dbb4ebaf61ec9ca02fabe5afd126e79df13390f89,1,1861,0,0,0,2.169968487614158,19.329251312258933
tuning,18001,healthy,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-tuning-18001-healthy-oracle-cap3_floor0p25,0.786909915710886,1e7a9f0d61e5c83be786788dbb4ebaf61ec9ca02fabe5afd126e79df13390f89,1,1860,0,0,0,2.244319307279885,20.350319124764482
tuning,18001,healthy,oracle,cap4_floor0p25,S,4.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18001-healthy-oracle-cap4_floor0p25,0.7847343349804434,1e7a9f0d61e5c83be786788dbb4ebaf61ec9ca02fabe5afd126e79df13390f89,1,1864,0,220,0,2.8756030007077307,629.7926916182362
tuning,18001,healthy,oracle,cap5_floor0p20,S,5.0,0.2,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18001-healthy-oracle-cap5_floor0p20,0.7847343349804434,1e7a9f0d61e5c83be786788dbb4ebaf61ec9ca02fabe5afd126e79df13390f89,1,1864,0,220,0,2.8756030007077307,629.7926916182362
tuning,18001,healthy,oracle,cap5_floor0p25,S,5.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18001-healthy-oracle-cap5_floor0p25,0.7847343349804434,1e7a9f0d61e5c83be786788dbb4ebaf61ec9ca02fabe5afd126e79df13390f89,1,1864,0,220,0,2.8756030007077307,629.7926916182362
tuning,18001,healthy,no_action,reference,S,2.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-tuning-18001-healthy-no_action-reference,0.8587536409298167,1e7a9f0d61e5c83be786788dbb4ebaf61ec9ca02fabe5afd126e79df13390f89,1,0,0,0,0,2.1102061575126143,18.627914089872633
tuning,18002,actuator,oracle,cap2_floor0p25,S,2.0,0.25,0.25,0.0,2.0,2.0,0.0,actuator-recovery-tuning-18002-actuator-oracle-cap2_floor0p25,0.9428858000297479,b54d3ad3700bb7f7630a4d939e7537b856ca7073604e4b68a41e758e90cbe7a7,1,1864,0,0,0,0.9163203542988061,9.236167741839552
tuning,18002,actuator,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-tuning-18002-actuator-oracle-cap3_floor0p25,0.8805758662903705,b54d3ad3700bb7f7630a4d939e7537b856ca7073604e4b68a41e758e90cbe7a7,1,1864,0,0,0,1.1541095749125876,10.510816878888107
tuning,18002,actuator,oracle,cap4_floor0p25,S,4.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18002-actuator-oracle-cap4_floor0p25,0.8487082218944169,b54d3ad3700bb7f7630a4d939e7537b856ca7073604e4b68a41e758e90cbe7a7,1,1864,0,0,0,1.2979277296534477,11.420784248699078
tuning,18002,actuator,oracle,cap5_floor0p20,S,5.0,0.2,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18002-actuator-oracle-cap5_floor0p20,0.8487082218944169,b54d3ad3700bb7f7630a4d939e7537b856ca7073604e4b68a41e758e90cbe7a7,1,1864,0,0,0,1.2979277296534477,11.420784248699078
tuning,18002,actuator,oracle,cap5_floor0p25,S,5.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18002-actuator-oracle-cap5_floor0p25,0.8487082218944169,b54d3ad3700bb7f7630a4d939e7537b856ca7073604e4b68a41e758e90cbe7a7,1,1864,0,0,0,1.2979277296534477,11.420784248699078
tuning,18002,actuator,no_action,reference,S,2.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-tuning-18002-actuator-no_action-reference,1.057843724137923,b54d3ad3700bb7f7630a4d939e7537b856ca7073604e4b68a41e758e90cbe7a7,1,0,0,0,0,0.09937465771366369,3.5245802659056302
tuning,18002,healthy,oracle,cap2_floor0p25,S,2.0,0.25,0.25,0.0,2.0,2.0,0.0,actuator-recovery-tuning-18002-healthy-oracle-cap2_floor0p25,0.8060183611243266,c337ee6d3aa806b7374c0075cbade14e3f65c20431813cd3b85703fba0311805,1,1863,0,0,0,2.1532650063885335,19.28448394687088
tuning,18002,healthy,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-tuning-18002-healthy-oracle-cap3_floor0p25,0.7894232149265388,c337ee6d3aa806b7374c0075cbade14e3f65c20431813cd3b85703fba0311805,1,1863,0,0,0,2.1007121920887,19.200833009449525
tuning,18002,healthy,oracle,cap4_floor0p25,S,4.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18002-healthy-oracle-cap4_floor0p25,0.7461333907124647,c337ee6d3aa806b7374c0075cbade14e3f65c20431813cd3b85703fba0311805,1,1864,0,343,0,2.9932728354312985,617.9584310727882
tuning,18002,healthy,oracle,cap5_floor0p20,S,5.0,0.2,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18002-healthy-oracle-cap5_floor0p20,0.7461333907124647,c337ee6d3aa806b7374c0075cbade14e3f65c20431813cd3b85703fba0311805,1,1864,0,343,0,2.9932728354312985,617.9584310727882
tuning,18002,healthy,oracle,cap5_floor0p25,S,5.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18002-healthy-oracle-cap5_floor0p25,0.7461333907124647,c337ee6d3aa806b7374c0075cbade14e3f65c20431813cd3b85703fba0311805,1,1864,0,343,0,2.9932728354312985,617.9584310727882
tuning,18002,healthy,no_action,reference,S,2.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-tuning-18002-healthy-no_action-reference,0.8583020595625436,c337ee6d3aa806b7374c0075cbade14e3f65c20431813cd3b85703fba0311805,1,0,0,0,0,1.9992760640314202,18.386904259850567
