role,seed,physical_source,diagnosis,candidate_label,suite,maximum_gain_compensation,minimum_gain_remaining,estimated_severity,severity_uncertainty,expected_multiplier,applied_multiplier_mean,applied_multiplier_max_error,run_id,j_5s,predecision_hash,classification_evaluations,recovery_command_changed_steps,predecision_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
assessment,17100,healthy,S,cap5_floor0p25,S,5.0,0.25,0.2519434949039755,0.010183117225236724,3.9691439557950687,3.9691439557950683,4.440892098500626e-16,actuator-recovery-assessment-17100-healthy-S-cap5_floor0p25,0.7797448468951425,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,1864,0,46,0,2.181656833393637,326.0900133435696
assessment,17100,healthy,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17100-healthy-no_action-reference,0.8602950721595801,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,0,0,0,0,2.118070302651694,18.559801047048907
assessment,17101,actuator,C1,cap3_floor0p25,C1,3.0,0.25,0.265714860390349,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17101-actuator-C1-cap3_floor0p25,0.8835729102757461,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,1864,0,0,0,1.1520048913960166,10.360157835949124
assessment,17101,actuator,S,cap3_floor0p25,S,3.0,0.25,0.2523322714627144,0.010183117225236724,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17101-actuator-S-cap3_floor0p25,0.8835729102757461,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,1864,0,0,0,1.1520048913960166,10.360157835949124
assessment,17101,actuator,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17101-actuator-oracle-cap3_floor0p25,0.8835729102757461,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,1864,0,0,0,1.1520048913960166,10.360157835949124
assessment,17101,actuator,C1,cap5_floor0p20,C1,5.0,0.2,0.265714860390349,0.008584677993439312,3.763432720815644,3.7634327208156435,4.440892098500626e-16,actuator-recovery-assessment-17101-actuator-C1-cap5_floor0p20,0.8570681377193244,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,1864,0,0,0,1.2140875908884332,10.65332374860617
assessment,17101,actuator,S,cap5_floor0p20,S,5.0,0.2,0.2523322714627144,0.010183117225236724,3.9630285662758116,3.9630285662758107,4.440892098500626e-16,actuator-recovery-assessment-17101-actuator-S-cap5_floor0p20,0.8521319968404854,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,1864,0,0,0,1.2425301167139566,11.13098424314174
assessment,17101,actuator,C1,cap5_floor0p25,C1,5.0,0.25,0.265714860390349,0.008584677993439312,3.763432720815644,3.7634327208156435,4.440892098500626e-16,actuator-recovery-assessment-17101-actuator-C1-cap5_floor0p25,0.8570681377193244,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,1864,0,0,0,1.2140875908884332,10.65332374860617
assessment,17101,actuator,S,cap5_floor0p25,S,5.0,0.25,0.2523322714627144,0.010183117225236724,3.9630285662758116,3.9630285662758107,4.440892098500626e-16,actuator-recovery-assessment-17101-actuator-S-cap5_floor0p25,0.8521319968404854,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,1864,0,0,0,1.2425301167139566,11.13098424314174
assessment,17101,actuator,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17101-actuator-no_action-reference,1.0587786773944199,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,0,0,0,0,0.06786341960727811,3.443583127458183
assessment,17101,healthy,C1,cap3_floor0p25,C1,3.0,0.25,0.265714860390349,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17101-healthy-C1-cap3_floor0p25,0.7875004300052201,2fd33a51ecfc3707c703e951fdc3abf57c16a721b2fa5281c361ad7b8f5ff84f,1,1864,0,0,0,2.3000532325479934,20.13636819090614
assessment,17101,healthy,S,cap3_floor0p25,S,3.0,0.25,0.2523322714627144,0.010183117225236724,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17101-healthy-S-cap3_floor0p25,0.7875004300052201,2fd33a51ecfc3707c703e951fdc3abf57c16a721b2fa5281c361ad7b8f5ff84f,1,1864,0,0,0,2.3000532325479934,20.13636819090614
assessment,17101,healthy,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17101-healthy-oracle-cap3_floor0p25,0.7875004300052201,2fd33a51ecfc3707c703e951fdc3abf57c16a721b2fa5281c361ad7b8f5ff84f,1,1864,0,0,0,2.3000532325479934,20.13636819090614
assessment,17101,healthy,C1,cap5_floor0p20,C1,5.0,0.2,0.265714860390349,0.008584677993439312,3.763432720815644,3.7634327208156435,4.440892098500626e-16,actuator-recovery-assessment-17101-healthy-C1-cap5_floor0p20,0.7736110183660372,2fd33a51ecfc3707c703e951fdc3abf57c16a721b2fa5281c361ad7b8f5ff84f,1,1864,0,0,0,2.406746688321345,36.21156904155543
assessment,17101,healthy,S,cap5_floor0p20,S,5.0,0.2,0.2523322714627144,0.010183117225236724,3.9630285662758116,3.9630285662758107,4.440892098500626e-16,actuator-recovery-assessment-17101-healthy-S-cap5_floor0p20,0.7856516664085061,2fd33a51ecfc3707c703e951fdc3abf57c16a721b2fa5281c361ad7b8f5ff84f,1,1864,0,172,0,2.4335463860291835,618.5747183237012
assessment,17101,healthy,C1,cap5_floor0p25,C1,5.0,0.25,0.265714860390349,0.008584677993439312,3.763432720815644,3.7634327208156435,4.440892098500626e-16,actuator-recovery-assessment-17101-healthy-C1-cap5_floor0p25,0.7736110183660372,2fd33a51ecfc3707c703e951fdc3abf57c16a721b2fa5281c361ad7b8f5ff84f,1,1864,0,0,0,2.406746688321345,36.21156904155543
assessment,17101,healthy,S,cap5_floor0p25,S,5.0,0.25,0.2523322714627144,0.010183117225236724,3.9630285662758116,3.9630285662758107,4.440892098500626e-16,actuator-recovery-assessment-17101-healthy-S-cap5_floor0p25,0.7856516664085061,2fd33a51ecfc3707c703e951fdc3abf57c16a721b2fa5281c361ad7b8f5ff84f,1,1864,0,172,0,2.4335463860291835,618.5747183237012
assessment,17101,healthy,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17101-healthy-no_action-reference,0.8604001132323349,2fd33a51ecfc3707c703e951fdc3abf57c16a721b2fa5281c361ad7b8f5ff84f,1,0,0,0,0,2.1060651563998705,19.716247921692798
assessment,17102,actuator,C1,cap3_floor0p25,C1,3.0,0.25,0.2536472290062832,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17102-actuator-C1-cap3_floor0p25,0.8817359603149146,9b5e7337d9137de2b81b70bfa0bf6213776cf44aec8c2b9901c49edd01c60f9c,1,1864,0,0,0,1.2001296330113913,11.128776096951398
assessment,17102,actuator,S,cap3_floor0p25,S,3.0,0.25,0.267926957064059,0.010183117225236724,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17102-actuator-S-cap3_floor0p25,0.8817359603149146,9b5e7337d9137de2b81b70bfa0bf6213776cf44aec8c2b9901c49edd01c60f9c,1,1864,0,0,0,1.2001296330113913,11.128776096951398
assessment,17102,actuator,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17102-actuator-oracle-cap3_floor0p25,0.8817359603149146,9b5e7337d9137de2b81b70bfa0bf6213776cf44aec8c2b9901c49edd01c60f9c,1,1864,0,0,0,1.2001296330113913,11.128776096951398
assessment,17102,actuator,C1,cap5_floor0p20,C1,5.0,0.2,0.2536472290062832,0.008584677993439312,3.942483440161014,3.942483440161013,4.440892098500626e-16,actuator-recovery-assessment-17102-actuator-C1-cap5_floor0p20,0.8499388213629228,9b5e7337d9137de2b81b70bfa0bf6213776cf44aec8c2b9901c49edd01c60f9c,1,1864,0,0,0,1.24691114354148,11.081002118107364
assessment,17102,actuator,S,cap5_floor0p20,S,5.0,0.2,0.267926957064059,0.010183117225236724,3.732360531982262,3.7323605319822613,4.440892098500626e-16,actuator-recovery-assessment-17102-actuator-S-cap5_floor0p20,0.8558721500617943,9b5e7337d9137de2b81b70bfa0bf6213776cf44aec8c2b9901c49edd01c60f9c,1,1864,0,0,0,1.2541143768411547,11.04833061076782
assessment,17102,actuator,C1,cap5_floor0p25,C1,5.0,0.25,0.2536472290062832,0.008584677993439312,3.942483440161014,3.942483440161013,4.440892098500626e-16,actuator-recovery-assessment-17102-actuator-C1-cap5_floor0p25,0.8499388213629228,9b5e7337d9137de2b81b70bfa0bf6213776cf44aec8c2b9901c49edd01c60f9c,1,1864,0,0,0,1.24691114354148,11.081002118107364
assessment,17102,actuator,S,cap5_floor0p25,S,5.0,0.25,0.267926957064059,0.010183117225236724,3.732360531982262,3.7323605319822613,4.440892098500626e-16,actuator-recovery-assessment-17102-actuator-S-cap5_floor0p25,0.8558721500617943,9b5e7337d9137de2b81b70bfa0bf6213776cf44aec8c2b9901c49edd01c60f9c,1,1864,0,0,0,1.2541143768411547,11.04833061076782
