role,physical_source,estimator_source,sensor_seed,pair_id,action_id,structural_action,scope,multiplier_cap,classification_evaluations,command_changed_steps,command_changed_before_decision,tracking_integral_5s_m_s,safety_incident_steps,saturation_steps,contact_episode_count,contact_active_steps,peak_contact_force_n,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_abs_gauge_microstrain,predecision_hash,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
tuning,structure,structure,15001,structural-recovery-tuning-structure-15001,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.6839432332596475,0,0,2,44,2.936247095304946,0.2662174296402915,0.287184920497066,0.6117040095203752,1.2918152915299963,57.42491012152407,d59a4ffd2d07667e868c3a573b34546dafc7933c2a2fc8ac7db93bffb4a3a0cf,0,0,0,0,0,0,0
tuning,structure,structure,15001,structural-recovery-tuning-structure-15001,localized_1p25,inverse_stiffness,localized,1.25,1,1864,False,0.8398597736839184,0,0,1,23,2.0747750135754712,0.2751960797645121,0.29338693924997283,0.5889897063557914,1.2918152915299963,37.24757798480028,d59a4ffd2d07667e868c3a573b34546dafc7933c2a2fc8ac7db93bffb4a3a0cf,0,0,0,0,0,0,0
tuning,structure,structure,15001,structural-recovery-tuning-structure-15001,localized_1p50,inverse_stiffness,localized,1.5,1,1862,False,0.8248048792303865,0,0,1,23,2.143311731194254,0.2754745421219842,0.29522864901693424,0.5889897063557914,1.2918152915299963,37.95925710044834,d59a4ffd2d07667e868c3a573b34546dafc7933c2a2fc8ac7db93bffb4a3a0cf,0,0,0,0,0,0,0
tuning,structure,structure,15001,structural-recovery-tuning-structure-15001,localized_2p00,inverse_stiffness,localized,2.0,1,1863,False,0.8071693543949643,0,0,1,23,2.1887843065080586,0.27747928434166846,0.2968412640161149,0.5889897063557914,1.2918152915299963,40.6354783009899,d59a4ffd2d07667e868c3a573b34546dafc7933c2a2fc8ac7db93bffb4a3a0cf,0,0,0,0,0,0,0
tuning,structure,structure,15001,structural-recovery-tuning-structure-15001,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.861184964429948,0,0,1,23,2.0635334698722048,0.2743029425184549,0.29054714462110365,0.5889897063557914,1.2918152915299963,37.358308494859216,d59a4ffd2d07667e868c3a573b34546dafc7933c2a2fc8ac7db93bffb4a3a0cf,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,current_derate_0p75,derate,global,0.75,1,1864,False,1.020225280990211,0,0,1,21,0.4747534995758678,0.3196393335516077,0.2772603875671331,0.5738526973519953,1.3031439755337715,9.438085300175203,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,global_1p10,inverse_stiffness,global,1.1,1,1864,False,0.8211842525036497,0,0,1,23,2.261791802473596,0.26776398282274805,0.2934381378307971,0.5738526973519953,1.3031439755337715,43.39405093629623,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,global_1p25,inverse_stiffness,global,1.25,1,1864,False,0.784502359101533,0,0,1,24,2.3663420110943543,0.2639844419881192,0.2923139668649286,0.5738526973519953,1.3031439755337715,44.28565473856949,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,global_1p50,inverse_stiffness,global,1.5,1,1864,False,0.7450203648419392,0,0,1,24,2.6174161031017964,0.2644634371490966,0.28961255558237076,0.5738526973519953,1.3031439755337715,49.61857039612383,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,global_2p00,inverse_stiffness,global,2.0,1,1864,False,0.6864880743949215,0,0,2,44,2.98451778782909,0.26546474921964824,0.2870360643749863,0.6094863054026955,1.3031439755337715,54.404650837875934,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,localized_1p25,inverse_stiffness,localized,1.25,1,1864,False,0.8395249832909284,0,0,1,23,2.1084114095979514,0.2752460132643697,0.2936256460490019,0.5738526973519953,1.3031439755337715,39.40472151822583,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,localized_1p50,inverse_stiffness,localized,1.5,1,1863,False,0.8245875245551807,0,0,1,23,2.07617894235974,0.2755069052654644,0.2950846735785442,0.5738526973519953,1.3031439755337715,37.79216035860067,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,localized_2p00,inverse_stiffness,localized,2.0,1,1861,False,0.808406074985778,0,0,1,23,2.0431918394174597,0.27822034943680674,0.2968101571572661,0.5738526973519953,1.3031439755337715,39.776481437270306,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
tuning,structure,structure,15002,structural-recovery-tuning-structure-15002,no_action_1p00,inverse_stiffness,global,1.0,1,0,False,0.8606600459653839,0,0,1,23,2.0219960972823423,0.2742013834842578,0.2908215123827751,0.5738526973519953,1.3031439755337715,37.22423386632201,7de3aab91d3825b6e30d00020637215a23a35e951e2c11e2776dedfd53c4f964,0,0,0,0,0,0,0
