task_torque_scale,peak_load_n,onset_offset_steps,onset_index,suite,window,stride,decision_lag_steps,safety_screen_pass,sync_vector_nonzero,detect_threshold,false_alarm_rate,minimum_fault_detection_rate,structure_detection_rate,actuator_detection_rate,sensor_detection_rate,macro_attribution_accuracy,structure_attribution_accuracy,actuator_attribution_accuracy,sensor_attribution_accuracy
0.4,0.025,5,505,S,768,8,7,True,True,1.6288481731206061,0.16666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,5,505,S,768,16,7,True,True,1.6288481731206061,0.16666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,C1,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,11,511,C1,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,11,511,C1,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,11,511,C1,640,4,1,True,True,2.0606201431029385,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,C1,640,8,1,True,True,2.0606201431029385,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,C1,640,16,1,True,True,2.0606201431029385,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,C1,768,4,1,True,True,1.6838769567915481,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,C1,768,8,1,True,True,1.6838769567915481,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,C1,768,16,1,True,True,1.6838769567915481,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,S,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,11,511,S,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,11,511,S,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,11,511,S,640,4,1,True,True,1.9213492480756136,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,S,640,8,1,True,True,1.9213492480756136,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,S,640,16,1,True,True,1.9213492480756136,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,S,768,4,1,True,True,1.7775554238443156,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,S,768,8,1,True,True,1.7775554238443156,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,11,511,S,768,16,1,True,True,1.7775554238443156,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
