name,task_torque_scale,peak_load_n,structural_harmonic_microstrain,actuator_harmonic_microstrain,separation_harmonic_microstrain,minimum_detector_margin,worst_peak_abs_joint_angle_rad,worst_peak_abs_joint_speed_rad_s,safety_screen_pass,detector_screen_pass,advance_to_pilot_sweep
task_0.400_probe_0.050N,0.4,0.05,0.9400714726088386,0.6860267240225068,0.9847955373967286,1.6928197722862295,1.7665516389964682,3.893091357448182,True,False,False
task_0.400_probe_0.100N,0.4,0.1,1.719332828814331,1.3748913978132282,2.0587502065654038,3.392642387628222,1.5439651245622144,5.286812263360391,True,True,True
task_0.400_probe_0.150N,0.4,0.15,0.7002374295204318,2.421134711775545,2.4208949309712233,1.7278856996075023,4.103975958384291,8.417572036015159,False,False,False
task_0.500_probe_0.050N,0.5,0.05,1.0147194018093009,0.8977123597955935,1.0901666558237153,2.2151691461480936,1.895079703264188,3.90906679082835,True,True,True
task_0.500_probe_0.100N,0.5,0.1,1.4995241072034784,1.1576702469761238,1.7697449031920742,2.8566337363329466,1.799046218401191,7.037000867214814,True,True,True
task_0.500_probe_0.150N,0.5,0.15,0.6261493400183944,1.967668098756504,1.9675702781711724,1.5450680652381361,4.684627526854512,9.906633134735257,False,False,False
