severity,seed,role,generated_suite,run_id,j_5s,classification_evaluations,recovery_command_changes,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain,window_valid_fraction_mean
0.4,17102,assessment,S,severity-quality-assessment-17102-gain0.40-S,1.0106593769966614,1,0,0,0,1.1789371323852116,12.576225818641262,0.9890046296296295
0.4,17103,assessment,S,severity-quality-assessment-17103-gain0.40-S,1.0115758508279136,1,0,0,0,1.249558265153545,13.090486226738918,0.9897280092592593
0.25,17000,tuning,S,severity-quality-tuning-17000-gain0.25-S,1.059926566408245,1,0,0,0,0.05598316707280834,3.6893452053354814,0.9921151620370369
0.25,17001,tuning,S,severity-quality-tuning-17001-gain0.25-S,1.0582387246737555,1,0,0,0,0.08190386694384297,3.350585312265064,0.9894386574074073
0.25,17002,tuning,S,severity-quality-tuning-17002-gain0.25-S,1.0585297271447547,1,0,0,0,0.05867597216555593,3.2986912022137105,0.9892216435185185
0.25,17003,tuning,S,severity-quality-tuning-17003-gain0.25-S,1.05771162881702,1,0,0,0,0.10968530386486558,3.4020557556280195,0.9896556712962963
0.25,17004,tuning,S,severity-quality-tuning-17004-gain0.25-S,1.0576343779257384,1,0,0,0,0.10094275689497699,3.4744605169301224,0.9892939814814815
0.25,17005,tuning,S,severity-quality-tuning-17005-gain0.25-S,1.058198451296252,1,0,0,0,0.10092659749153178,3.4433423395419105,0.9891493055555556
0.25,17100,assessment,S,severity-quality-assessment-17100-gain0.25-S,1.0582903272883195,1,0,0,0,0.0808637958873531,3.9522306000061573,0.990234375
0.25,17101,assessment,S,severity-quality-assessment-17101-gain0.25-S,1.0587786773944199,1,0,0,0,0.06786341960727811,3.443583127458183,0.9907407407407407
0.25,17102,assessment,S,severity-quality-assessment-17102-gain0.25-S,1.0578128911746305,1,0,0,0,0.11755270068006483,3.5287995189325905,0.9890046296296295
0.25,17103,assessment,S,severity-quality-assessment-17103-gain0.25-S,1.0582279047177365,1,0,0,0,0.09468533570658993,3.87023023840749,0.9897280092592593
0.1,17000,tuning,S,severity-quality-tuning-17000-gain0.10-S,1.4331013789675153,1,0,0,0,1.5230814690570946,21.14635499441242,0.9921151620370369
0.1,17001,tuning,S,severity-quality-tuning-17001-gain0.10-S,1.4232214097176858,1,0,0,0,1.4980221454905975,20.37210584612481,0.9894386574074073
0.1,17002,tuning,S,severity-quality-tuning-17002-gain0.10-S,1.42495142593754,1,0,0,0,1.5083017539530386,20.63722689299219,0.9892216435185185
0.1,17003,tuning,S,severity-quality-tuning-17003-gain0.10-S,1.4176530818069042,1,0,0,0,1.5466573702789974,20.484284430883903,0.9896556712962963
0.1,17004,tuning,S,severity-quality-tuning-17004-gain0.10-S,1.4205282658367362,1,0,0,0,1.542172614860946,20.85993888276683,0.9892939814814815
0.1,17005,tuning,S,severity-quality-tuning-17005-gain0.10-S,1.4219985351793953,1,0,0,0,1.5201531766564766,21.02849810309948,0.9891493055555556
0.1,17100,assessment,S,severity-quality-assessment-17100-gain0.10-S,1.4220467727059374,1,0,0,0,1.514365408696626,20.992028532393903,0.990234375
0.1,17101,assessment,S,severity-quality-assessment-17101-gain0.10-S,1.4261888923790673,1,0,0,0,1.5457498600778197,19.937514452417204,0.9907407407407407
0.1,17102,assessment,S,severity-quality-assessment-17102-gain0.10-S,1.4134422432697675,1,0,0,0,1.4998687799951707,20.62134495995238,0.9890046296296295
0.1,17103,assessment,S,severity-quality-assessment-17103-gain0.10-S,1.4238884951711683,1,0,0,0,1.516609938544509,21.07787254927551,0.9897280092592593
