plane_z_m,scenario,plant_fault_source_class,sensor_fault_is_observation_side,n_steps,contact_active_steps,contact_active_fraction,contact_episode_count,first_contact_time_s,last_contact_time_s,peak_contact_force_n,contact_impulse_n_s,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_tip_workspace_radius_m,max_abs_gauge_microstrain,safety_incident_steps,any_safety_flag,contact_profile_gate_pass,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
0.05,actuator,actuator,False,3000,24,0.008,1,4.328000000003252,4.374000000003145,3.2649174550791424,0.050343734425127365,3.02619426057837,2.837960112018802,3.4819002129995447,8.291844132151338,0.8000021611490538,53.18026621009331,0,False,True,0,0,0,0,0,0,0
0.05,healthy,healthy,False,3000,24,0.008,1,4.320000000003271,4.366000000003163,3.733705311744417,0.05416603290176572,2.929045608696305,3.3643089191201763,3.4819002129995447,8.291844132151338,0.8000021611490538,63.177858087382084,311,True,False,0,311,0,0,0,0,0
0.05,structure,structure,False,3000,22,0.007333333333333333,1,4.320000000003271,4.362000000003173,3.6522093792466035,0.05574298386488151,2.8754832061901263,3.713843491733447,3.4819002129995447,8.291844132151338,0.8000021611490538,125.42461025387031,334,True,False,0,334,0,0,0,0,0
0.1,actuator,actuator,False,3000,55,0.018333333333333333,3,1.973999999999799,3.458000000002873,3.211434502693216,0.06578967740464979,2.410645918161811,5.569005056159488,3.4819002129995447,8.291844132151338,0.8000021611490538,49.76725345326116,1651,True,False,0,1651,0,0,0,0,0
0.1,healthy,healthy,False,3000,52,0.017333333333333333,3,2.043999999999889,4.146000000003676,4.178331830074377,0.1093452325175065,1.8445722476284239,4.355274371295664,3.4819002129995447,8.291844132151338,0.8000021611490538,71.30432709526958,1111,True,False,0,1111,0,0,0,0,0
0.1,structure,structure,False,3000,59,0.019666666666666666,3,2.043999999999889,4.748000000002273,4.462149163447059,0.10515028561916515,1.8386596452181667,4.347029772972831,3.4819002129995447,8.291844132151338,0.8000021611490538,161.07493685762364,1658,True,False,0,1658,0,0,0,0,0
