role,case_id,source_class,subtype,location,severity,severity_semantics,sensor_seed,pair_id,classification_evaluations,recovery_command_changed_steps,recovery_changed_before_decision,tracking_integral_5s_m_s,safety_incident_steps,saturation_steps,contact_episode_count,contact_active_steps,peak_contact_force_n,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_abs_gauge_microstrain,pre_fault_hash,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
assessment,structure_ei_remaining_0p75,structure,link_stiffness_loss,1,0.75,remaining link-2 EI fraction; lower is more severe,16100,fault-deficit-assessment-16100,1,0,False,0.8602124501338608,0,0,1,24,2.062220295337366,0.27330350035518247,0.28992720268134464,0.5718472929763241,1.2799657184408009,24.875463957254595,3f896d6ef5faa7cdf816d5a6d083485c15f4fed70f1a1b1d777695003b48bf42,0,0,0,0,0,0,0
assessment,actuator_gain_remaining_0p10,actuator,actuator_gain_loss,1,0.1,remaining joint-1 delivered-gain fraction; lower is more severe,16101,fault-deficit-assessment-16101,1,0,False,1.431686892330082,0,0,1,24,1.5374642615425134,0.16853387776447448,1.0492751929352035,0.37751114048600876,1.6843099723107269,21.079096628975336,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
assessment,actuator_gain_remaining_0p25,actuator,actuator_gain_loss,1,0.25,remaining joint-1 delivered-gain fraction; lower is more severe,16101,fault-deficit-assessment-16101,1,0,False,1.0587601605311623,0,0,1,22,0.07201866248193833,0.2084218500295396,0.6324903456460373,0.3890092933651612,1.4669609416619878,3.2577490437035728,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
assessment,actuator_gain_remaining_0p50,actuator,actuator_gain_loss,1,0.5,remaining joint-1 delivered-gain fraction; lower is more severe,16101,fault-deficit-assessment-16101,1,0,False,0.9734642294712365,0,0,1,25,1.5296681135575723,0.2515260772512815,0.4478292227605225,0.5391872900359918,1.6554944172921804,15.10148374415543,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
assessment,actuator_gain_remaining_0p70,actuator,actuator_gain_loss,1,0.7,remaining joint-1 delivered-gain fraction; lower is more severe,16101,fault-deficit-assessment-16101,1,0,False,0.914342899350095,0,0,1,24,1.8292237929944717,0.2681795839635188,0.3608205256634429,0.5714638406488781,1.5152692377806698,17.277152482648717,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
assessment,actuator_gain_remaining_0p85,actuator,actuator_gain_loss,1,0.85,remaining joint-1 delivered-gain fraction; lower is more severe,16101,fault-deficit-assessment-16101,1,0,False,0.8832716223337598,0,0,1,25,1.9857757836967478,0.271418337161633,0.31347892107460185,0.5759418400386185,1.406205286745399,18.04121451634444,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
assessment,healthy_reference,healthy,none,-1,1.0,no fault; remaining fraction reference,16101,fault-deficit-assessment-16101,1,0,False,0.860560976372074,0,0,1,24,2.090817492456163,0.27264933946850345,0.28988881972383895,0.5756904439739863,1.2826571160768907,18.11121689687667,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
assessment,sensor_encoder_bias_0p05,sensor,encoder_bias,0,0.05,encoder bias in radians; physical plant remains healthy,16101,fault-deficit-assessment-16101,1,0,False,0.9954831612028616,0,0,1,21,1.574726566998379,0.2843801703756448,0.2978469131426249,0.5500008885468421,1.3417496399954487,19.94853755015498,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
assessment,structure_ei_remaining_0p05,structure,link_stiffness_loss,1,0.05,remaining link-2 EI fraction; lower is more severe,16101,fault-deficit-assessment-16101,1,0,False,0.8170274672704623,0,0,1,24,1.485265024563924,0.2611846674547209,0.2914315778198504,0.5828933680436243,1.3396304543362714,260.639053442695,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
assessment,structure_ei_remaining_0p10,structure,link_stiffness_loss,1,0.1,remaining link-2 EI fraction; lower is more severe,16101,fault-deficit-assessment-16101,1,0,False,0.8413438514288312,0,0,1,21,1.683833743483686,0.26936567140905554,0.2907322502605396,0.5748038732571459,1.3258222825045518,153.4462899145339,594b9874e44b68531ea552aebfedba078fc02401b9c6adeda97514313859c5bf,0,0,0,0,0,0,0
