seed,label,faulted,commanded_severity,severity_uncertainty,run_id,j_5s,applied_multiplier_max,classification_evaluations,recovery_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
17100,deployable_C1,True,0.4952463157119458,0.006741331882486336,boundary-deployable_C1-17100-S,0.8666803760302535,2.0,1,1862,0,0,1.7818667317139045,15.82512007482606
17101,deployable_C1,True,0.5108785171214643,0.006741331882486336,boundary-deployable_C1-17101-S,0.870551136816831,1.9574125090138492,1,1864,0,0,1.7761018728181541,15.832150442918191
17102,deployable_C1,True,0.4973669117480596,0.006741331882486336,boundary-deployable_C1-17102-S,0.8664989589408829,2.0,1,1863,0,0,1.7526637422281155,15.487388793022916
17103,deployable_C1,True,0.4983137485264126,0.006741331882486336,boundary-deployable_C1-17103-S,0.8685438688069189,2.0,1,1863,0,0,1.816379797708647,15.981010521217698
17100,deployable_S,True,0.49919084195624935,0.011159893884014824,boundary-deployable_S-17100-S,0.8666803760302535,2.0,1,1862,0,0,1.7818667317139045,15.82512007482606
17101,deployable_S,True,0.5015238213679355,0.011159893884014824,boundary-deployable_S-17101-S,0.8696341015907765,1.9939232343389826,1,1862,0,0,1.8006567318084414,15.990502631391124
17102,deployable_S,True,0.5179745332964082,0.011159893884014824,boundary-deployable_S-17102-S,0.8709652816543745,1.9305968454394173,1,1864,0,0,1.9086790742497604,17.374473761329057
17103,deployable_S,True,0.5066942552942575,0.011159893884014824,boundary-deployable_S-17103-S,0.8690697209202308,1.9735767468278487,1,1864,0,0,1.8152237839404628,16.72360324446842
17100,healthy_reference,False,,0.0,boundary-healthy_reference-17100-S,0.8602950721595801,1.0,1,0,0,0,2.118070302651694,18.559801047048907
17101,healthy_reference,False,,0.0,boundary-healthy_reference-17101-S,0.8604001132323349,1.0,1,0,0,0,2.1060651563998705,19.716247921692798
17102,healthy_reference,False,,0.0,boundary-healthy_reference-17102-S,0.8581249559201852,1.0,1,0,0,0,2.0732809937160144,19.004971240121904
17103,healthy_reference,False,,0.0,boundary-healthy_reference-17103-S,0.8609955888778595,1.0,1,0,0,0,2.086582214308634,19.9418692993536
17100,multiplier_1.50,True,0.6666666666666666,0.0,boundary-multiplier_1.50-17100-S,0.9044313213634274,1.5000000000000002,1,1864,0,0,1.7048976378615888,15.049502649366886
17101,multiplier_1.50,True,0.6666666666666666,0.0,boundary-multiplier_1.50-17101-S,0.9053717960486429,1.5000000000000002,1,1864,0,0,1.701865853798002,15.324727218199996
17102,multiplier_1.50,True,0.6666666666666666,0.0,boundary-multiplier_1.50-17102-S,0.9036800848721604,1.5000000000000002,1,1863,0,0,1.700818636368579,15.913895794010813
17103,multiplier_1.50,True,0.6666666666666666,0.0,boundary-multiplier_1.50-17103-S,0.9049942098733448,1.5000000000000002,1,1864,0,0,1.7337463892699567,15.553931456411265
17100,multiplier_1.70,True,0.5882352941176471,0.0,boundary-multiplier_1.70-17100-S,0.8879762585110564,1.7000000000000002,1,1864,0,0,1.7931253138837746,16.224398554056663
17101,multiplier_1.70,True,0.5882352941176471,0.0,boundary-multiplier_1.70-17101-S,0.8887537613806108,1.7000000000000002,1,1863,0,0,1.7722492496609703,15.247224632508605
17102,multiplier_1.70,True,0.5882352941176471,0.0,boundary-multiplier_1.70-17102-S,0.8870032785402673,1.7000000000000002,1,1863,0,0,1.7808598711578174,15.47572600358649
17103,multiplier_1.70,True,0.5882352941176471,0.0,boundary-multiplier_1.70-17103-S,0.888478033880899,1.7000000000000002,1,1864,0,0,1.7428622894710355,15.694817912637049
