seed,label,faulted,probability,severity_uncertainty,run_id,j_5s,applied_multiplier_max,classification_evaluations,recovery_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
16100,gate_probe,True,0.49,0.010183117225236724,probability-gate_probe-16100-S,1.058050978782902,1.0,1,0,0,0,0.09149745195721215,3.3764335032016035
16100,healthy_reference,False,,0.010183117225236724,probability-healthy_reference-16100-S,0.8592756792293994,1.0,1,0,0,0,2.120739746930669,19.476784280483272
16100,no_action,True,,0.010183117225236724,probability-no_action-16100-S,1.058050978782902,1.0,1,0,0,0,0.09149745195721215,3.3764335032016035
16100,probability_0p50,True,0.5,0.010183117225236724,probability-probability_0p50-16100-S,0.9929146590490613,1.5000000000000002,1,1864,0,0,0.6090543177410357,7.582924464886177
16100,probability_0p60,True,0.6,0.010183117225236724,probability-probability_0p60-16100-S,0.9821504547298371,1.6000000000000003,1,1864,0,0,0.6820296356781298,8.221663750163088
16100,probability_0p70,True,0.7,0.010183117225236724,probability-probability_0p70-16100-S,0.9709302207528623,1.7000000000000002,1,1864,0,0,0.7944558255875904,8.874274412704608
16100,probability_0p80,True,0.8,0.010183117225236724,probability-probability_0p80-16100-S,0.9602202066474901,1.8000000000000003,1,1864,0,0,0.8028001123232016,9.054292778190032
16100,probability_0p90,True,0.9,0.010183117225236724,probability-probability_0p90-16100-S,0.9514554170762571,1.9000000000000001,1,1864,0,0,0.8807469955211138,9.328773983083849
16100,probability_1p00,True,1.0,0.010183117225236724,probability-probability_1p00-16100-S,0.9432431782548552,2.0,1,1864,0,0,0.8623427154182857,9.395940377991963
16101,gate_probe,True,0.49,0.010183117225236724,probability-gate_probe-16101-S,1.0587601605311623,1.0,1,0,0,0,0.07201866248193833,3.2577490437035728
16101,healthy_reference,False,,0.010183117225236724,probability-healthy_reference-16101-S,0.860560976372074,1.0,1,0,0,0,2.090817492456163,18.11121689687667
16101,no_action,True,,0.010183117225236724,probability-no_action-16101-S,1.0587601605311623,1.0,1,0,0,0,0.07201866248193833,3.2577490437035728
16101,probability_0p50,True,0.5,0.010183117225236724,probability-probability_0p50-16101-S,0.9949750066632489,1.5000000000000002,1,1864,0,0,0.5982642284271982,7.216276509787178
16101,probability_0p60,True,0.6,0.010183117225236724,probability-probability_0p60-16101-S,0.9832396735056688,1.6000000000000003,1,1864,0,0,0.6740674452312232,8.216389282189596
16101,probability_0p70,True,0.7,0.010183117225236724,probability-probability_0p70-16101-S,0.9727025040717249,1.7000000000000002,1,1864,0,0,0.785918599510518,8.910243328816847
16101,probability_0p80,True,0.8,0.010183117225236724,probability-probability_0p80-16101-S,0.962615818998691,1.8000000000000003,1,1864,0,0,0.8045979860886194,9.039652020890188
16101,probability_0p90,True,0.9,0.010183117225236724,probability-probability_0p90-16101-S,0.9531577804169229,1.9000000000000001,1,1864,0,0,0.8611273471789218,9.308976260218316
16101,probability_1p00,True,1.0,0.010183117225236724,probability-probability_1p00-16101-S,0.9445311307165167,2.0,1,1864,0,0,0.8847576851333316,8.937112337399356
16102,gate_probe,True,0.49,0.010183117225236724,probability-gate_probe-16102-S,1.0591224118175773,1.0,1,0,0,0,0.08193208541761332,3.4498673816107943
16102,healthy_reference,False,,0.010183117225236724,probability-healthy_reference-16102-S,0.8593696071348103,1.0,1,0,0,0,2.125094426125184,19.85712058612421
16102,no_action,True,,0.010183117225236724,probability-no_action-16102-S,1.0591224118175773,1.0,1,0,0,0,0.08193208541761332,3.4498673816107943
16102,probability_0p50,True,0.5,0.010183117225236724,probability-probability_0p50-16102-S,0.9948295587793996,1.5000000000000002,1,1864,0,0,0.5946197254429364,7.825710209221627
16102,probability_0p60,True,0.6,0.010183117225236724,probability-probability_0p60-16102-S,0.9834952164294719,1.6000000000000003,1,1864,0,0,0.6932050263893781,7.960145839414067
16102,probability_0p70,True,0.7,0.010183117225236724,probability-probability_0p70-16102-S,0.9728064758116564,1.7000000000000002,1,1864,0,0,0.7323670622780543,8.622726676739134
16102,probability_0p80,True,0.8,0.010183117225236724,probability-probability_0p80-16102-S,0.9625669997864785,1.8000000000000003,1,1864,0,0,0.7865956789304298,8.48100375495875
16102,probability_0p90,True,0.9,0.010183117225236724,probability-probability_0p90-16102-S,0.9536033687903427,1.9000000000000001,1,1864,0,0,0.8608403057252598,9.139960354156429
16102,probability_1p00,True,1.0,0.010183117225236724,probability-probability_1p00-16102-S,0.9448156192692644,2.0,1,1864,0,0,0.89898274620933,9.337342155433248
16103,gate_probe,True,0.49,0.010183117225236724,probability-gate_probe-16103-S,1.058365941762442,1.0,1,0,0,0,0.07638434302741924,3.5184883275340972
16103,healthy_reference,False,,0.010183117225236724,probability-healthy_reference-16103-S,0.8588168751808943,1.0,1,0,0,0,2.084486828589516,19.291436473656276
16103,no_action,True,,0.010183117225236724,probability-no_action-16103-S,1.058365941762442,1.0,1,0,0,0,0.07638434302741924,3.5184883275340972
16103,probability_0p50,True,0.5,0.010183117225236724,probability-probability_0p50-16103-S,0.9928377249936591,1.5000000000000002,1,1864,0,0,0.6272721126809755,8.385697623101152
16103,probability_0p60,True,0.6,0.010183117225236724,probability-probability_0p60-16103-S,0.9817638678386637,1.6000000000000003,1,1864,0,0,0.6953459133985925,8.574004042474215
16103,probability_0p70,True,0.7,0.010183117225236724,probability-probability_0p70-16103-S,0.9720659666138923,1.7000000000000002,1,1864,0,0,0.7030105539021145,8.401068613066442
16103,probability_0p80,True,0.8,0.010183117225236724,probability-probability_0p80-16103-S,0.9618223582474862,1.8000000000000003,1,1864,0,0,0.805754372278334,8.502205044020883
16103,probability_0p90,True,0.9,0.010183117225236724,probability-probability_0p90-16103-S,0.9525041572458189,1.9000000000000001,1,1864,0,0,0.8137027765158902,8.726521808499754
16103,probability_1p00,True,1.0,0.010183117225236724,probability-probability_1p00-16103-S,0.9435433032892888,2.0,1,1864,0,0,0.9357108179255524,9.750371100265554
